currency,geo\time	2019S1 	2018S2 	2018S1 	2017S2 	2017S1 	2016S2 	2016S1 	2015S2 	2015S1 	2014S2 	2014S1 	2013S2 	2013S1 	2012S2 	2012S1 	2011S2 	2011S1 	2010S2 	2010S1 	2009S2 	2009S1 	2008S2 	2008S1 	2007S2 	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 
PPS,CZ	743.38 e	679.35 e	679.35 e	612.53	612.53	558.55	558.55	536.93	536.93	491.47	491.47	451.54	451.54	446.89	446.89	442.46	442.46	441.79	441.79	439.57	439.57	443.59	443.59	457.19	457.19	449.52	427.76	413.61	413.61	382.01	382.01	357.38	357.38	327.97	327.97	297.43	297.43	266.23	236.65	212.86	192.17
PPS,DE	1496.51 e	1439.8 e	1439.8 e	1439.8	1439.8	1395.96	1395.96	1431.62	1431.62	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,DK	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,EE	691.37 e	640.16 e	640.16 e	601.75	601.75	572.87	572.87	535.38	535.38	477.31	477.31	428.76	428.76	396.88	396.88	381.76	381.76	387.93	387.93	380.15	380.15	376.97	376.97	329.59	329.59	288.65	288.65	275.57	275.57	259.48	259.48	230.75	230.75	201.71	201.71	172.86	172.86	160.34	160.34	141.81	141.81
PPS,EL	800.24 e	800.24 e	800.24 e	800.24	800.24	811.29	811.29	824.87	824.87	802.78	802.78	761.29	761.29	734.34	941.47	915.58	901.17	901.1	901.1	917	869.19	876.37	876.37	866.68	824.62	825.71	825.71	782.19	782.19	747.39	747.39	732.65	732.65	735.07	722.08	687.7	677.54	659.55	649.81	628.56	619.88
PPS,ES	1135.75 e	928.66 e	928.66 e	893.07	893.07	834.62	834.62	848.85 e	848.85 e	814.68	814.68	795.55	795.55	779.39	779.39	762.98	762.98	755.32	755.32	744.41	744.41	739.64	739.64	725.13	725.13	702.6	702.6	669.36	669.36	640.24	600.71	604.19	604.19	614.54	614.54	596.84	596.84	588.36	588.36	569.75	569.75
PPS,FI	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,FR	1389.78 e	1368.99 e	1368.99 e	1352.36	1352.36	1358.27	1358.27	1384.19	1384.19	1354.37	1354.37	1331.2	1331.2	1316.29	1291.08	1248.26	1248.26	1225.83	1225.83	1206.17	1191.13	1210.21	1172.7	1216.73	1192.21	1190.36	1155.81	1164.21	1229.41	1202.3	1135.95	1145.62	1088.26	1145.86	1119.02	1115.51	1072.02	1056.82	1023.84	986.21	973.5
PPS,HR	745.24 e	683.6 e	683.6 e	651.05	651.05	631.58	631.58	624.41	624.41	601.35	601.35	578.77	545.66	543.94	543.94	529.36	529.36	526.07	526.07	518.43	506.09	519.7	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,HU	764.65 e	708.2 e	708.2 e	654.32	654.32	593.43	593.43	587.31	587.31	568.27	568.27	556.15	556.15	530.64	530.64	451.1	451.1	420.71	420.71	406.07	406.07	400.27	400.27	392.17	392.17	393.7	393.7	368.02	368.02	346.27	346.27	343.72	343.72	360.25	360.25	298.34	298.34	203.18	203.18	188.01	188.01
