purchase,unit,geo\time	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 
DW_EXST,RCH_A,BE	2.2 p	3.4 	2.5 	3.1 p	3.3 p	3.0 p	4.4 p	2.9 p	2.3 p	1.7 p	2.2 p	-0.1 p	1.9 p	0.7 p	0.0 p	1.9 	-0.8 	0.0 	-1.2 	-0.3 	0.5 	0.4 	0.7 	1.3 	1.8 	2.6 	3.8 	3.2 	4.2 	4.5 	4.5 	5.6 	4.3 	4.7 	2.7 	0.0 	-0.6 	-1.4 	0.9 	3.3 	5.2 	5.6 	6.5 	8.1 	8.3 	9.5 	10.2 	9.7 	11.4 	12.7 	12.8 	: 	: 	: 	: 
DW_EXST,RCH_A,BG	5.8 p	7.7 p	9.7 p	10.0 	10.9 	9.2 	8.7 	8.8 	9.3 	7.5 	3.8 	3.6 	0.9 	2.2 	2.4 	1.2 	0.4 	0.3 	0.0 	-1.2 	-1.8 	-2.2 	-2.0 	-1.4 	-2.2 	-2.6 	-4.3 	-6.2 	-6.1 	-6.4 	-5.6 	-5.6 p	-6.0 p	-9.6 p	-17.8 p	-26.3 p	-28.0 p	-21.9 p	-8.4 p	11.7 p	26.8 p	32.2 p	31.6 p	34.6 p	30.6 p	27.1 p	22.6 p	17.4 p	14.0 p	12.2 p	15.1 p	: 	: 	: 	: 
DW_EXST,RCH_A,CY	0.8 p	-2.1 p	1.9 p	3.3 p	0.4 p	2.5 p	-0.3 p	-1.8 p	-0.8 p	-1.0 p	1.0 p	-1.5 p	-3.2 p	1.0 p	-2.6 p	-2.9 p	2.5 p	-1.1 p	4.3 p	-2.2 p	-3.3 p	-4.5 p	-7.5 p	-3.0 p	-6.4 p	-6.7 p	-1.8 p	-2.0 p	2.8 p	6.0 p	-0.2 p	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 
DW_EXST,RCH_A,CZ	8.2 p	7.6 	7.3 	8.1 p	12.0 	13.1 	12.7 	11.1 p	7.3 	5.8 	4.8 	4.4 p	4.1 	3.7 	3.7 	3.8 	2.8 	1.8 	1.4 	0.2 	0.0 	0.0 	-0.4 	-0.8 	-1.4 	-1.7 	-1.3 	-0.6 	0.5 	0.8 	0.3 	0.2 	-0.3 	-1.2 	-4.8 	-7.6 	-8.0 	-5.5 	2.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,DE	5.4 p	4.9 p	5.3 p	4.8 	4.4 	4.3 	5.4 	7.3 	7.0 	5.7 	4.8 	5.8 	4.3 	4.4 	4.0 	3.0 	3.4 	2.9 	2.8 	1.9 	3.0 	4.7 	4.1 	5.0 	4.8 	2.3 	1.9 	4.3 	2.4 	2.8 	3.7 	-0.7 	1.6 	1.2 	1.2 	1.9 	1.0 	-0.5 	-2.0 	0.1 	-0.2 	1.7 	2.9 	-2.4 	-1.7 	-3.3 	-3.9 	1.3 	-2.7 	1.4 	-1.2 	: 	: 	: 	: 
DW_EXST,RCH_A,DK	3.6 p	4.6 	6.0 	4.4 	4.7 	4.7 	4.5 	4.2 	5.9 	5.0 	5.9 	7.8 	7.1 	6.1 	6.6 	4.1 	3.3 	3.9 	3.5 	3.3 	4.2 	4.3 	2.3 	1.2 	-1.9 	-5.6 	-4.9 	-5.9 	-3.4 	0.9 	0.8 	2.6 	3.4 	3.5 	2.3 	-4.9 	-12.2 	-15.3 	-15.6 	-10.8 	-5.1 	-2.4 	-2.0 	-0.6 	0.5 	2.4 	7.4 	14.6 	23.4 	30.4 	29.3 	: 	: 	: 	: 
DW_EXST,RCH_A,EE	5.0 	2.7 	2.2 	5.9 	6.2 	5.6 	6.2 	4.9 	4.6 	1.9 	6.1 	5.5 	3.8 	6.3 	4.0 	7.3 	9.0 	12.9 	15.3 	13.4 	12.0 	12.5 	7.4 	8.3 	8.9 	2.9 	2.9 	8.1 	6.7 	10.6 	8.5 	7.7 	12.0 	2.8 	-7.3 	-32.0 	-43.6 	-42.7 	-35.5 	-20.6 	-10.5 	-8.1 	-4.4 	-0.1 	9.5 	18.4 	29.4 	49.0 	60.7 	65.1 	60.7 	: 	: 	: 	: 
DW_EXST,RCH_A,ES	7.3 	7.0 	6.3 	7.1 	6.7 	5.8 	5.3 	4.4 	3.5 	3.1 	6.4 	4.0 	4.5 	3.8 	1.1 	1.7 	0.1 	0.2 	-1.7 	-7.7 	-8.0 	-12.1 	-15.3 	-14.0 	-16.4 	-15.7 	-13.3 	-13.7 	-9.6 	-8.3 	-6.3 	-1.6 	-1.8 	0.0 	-1.4 	-3.5 	-8.2 	-11.2 	-12.5 	-10.7 	-8.6 	-4.9 	-0.7 	2.4 	7.5 	10.3 	13.0 	15.4 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,FI	-0.1 	0.1 	0.0 	0.8 	0.6 	1.1 	1.3 	0.3 	0.5 	0.6 	-0.2 	0.1 	-0.3 	-0.6 	-0.9 	-1.3 	-0.9 	-0.9 	-0.7 	0.1 	0.7 	0.9 	1.1 	2.4 	0.9 	0.3 	1.1 	0.9 	2.1 	3.7 	3.9 	5.1 	8.4 	9.9 	11.1 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 
DW_EXST,RCH_A,FR	2.9 p	2.9 	3.0 	3.3 	3.3 	3.1 	2.5 	1.5 	1.3 	0.6 	0.3 	-0.4 	-1.8 	-2.7 	-2.4 	-2.5 	-1.5 	-1.4 	-1.9 	-1.9 	-2.3 	-2.2 	-2.0 	-2.1 	-1.6 	-0.2 	1.8 	3.7 	6.1 	7.1 	7.0 	7.6 	6.6 	5.2 	1.2 	-4.1 	-7.8 	-9.1 	-7.4 	-3.8 	0.6 	2.5 	4.3 	5.7 	5.7 	6.8 	8.2 	10.0 	11.2 	12.9 	14.3 	: 	: 	: 	: 
